date,scale,type,open,close,adds,drop,cin,cout,netchg
1989-05-01,upuus,props,4,0,0,0,3,3,4
1989-05-01,upuus,rooms,992,0,0,0,1256,1072,1176
1989-05-01,upsus,props,5,0,0,0,2,1,6
1989-05-01,upsus,rooms,788,0,0,0,620,199,1209
1989-06-01,ecous,props,35,1,0,1,63,50,46
1989-06-01,ecous,rooms,3201,161,0,22,5005,3551,4472
1989-06-01,indus,props,233,3,5,3,40,38,234
1989-06-01,indus,rooms,13436,137,164,366,4175,4071,13201
1989-06-01,luxus,props,4,0,0,0,0,0,4
1989-06-01,luxus,rooms,734,0,0,0,0,0,734
1989-06-01,midus,props,16,1,0,0,14,17,12
1989-06-01,midus,rooms,1259,92,0,0,2309,2096,1380
1989-06-01,upmus,props,21,0,1,0,3,13,12
1989-06-01,upmus,rooms,2035,0,157,0,591,2606,177
1989-06-01,upuus,props,4,0,0,0,3,5,2
1989-06-01,upuus,rooms,1e3,0,0,0,1670,1189,1481
1989-06-01,upsus,props,10,0,0,0,1,1,10
1989-06-01,upsus,rooms,1440,0,0,0,158,395,1203
1989-07-01,ecous,props,29,1,0,0,23,48,3
1989-07-01,ecous,rooms,2071,149,0,0,2358,3219,1061
1989-07-01,indus,props,13,0,0,0,44,18,39
1989-07-01,indus,rooms,940,0,0,0,2751,2199,1492
1989-07-01,luxus,props,0,0,0,0,0,0,0
1989-07-01,luxus,rooms,0,0,0,0,0,0,0
1989-07-01,midus,props,12,0,0,0,6,10,8
1989-07-01,midus,rooms,1407,0,0,0,636,1197,846
1989-07-01,upmus,props,24,0,0,0,7,6,25
1989-07-01,upmus,rooms,2660,0,0,0,1207,821,3046
1989-07-01,upuus,props,3,0,0,0,0,0,3
1989-07-01,upuus,rooms,707,0,0,0,0,0,707
1989-07-01,upsus,props,5,0,0,0,2,0,7
1989-07-01,upsus,rooms,684,0,0,0,484,0,1168
1989-08-01,ecous,props,21,1,0,0,20,15,25
1989-08-01,ecous,rooms,1459,120,0,0,1382,954,1767
1989-08-01,indus,props,9,1,1,1,11,19,0
1989-08-01,indus,rooms,792,30,30,62,692,2857,-1435
1989-08-01,luxus,props,0,0,0,0,0,0,0
1989-08-01,luxus,rooms,0,0,0,0,0,0,0
1989-08-01,midus,props,6,0,0,0,8,7,7
1989-08-01,midus,rooms,906,0,0,0,2006,721,2191
1989-08-01,upmus,props,21,0,0,0,4,3,22
1989-08-01,upmus,rooms,2469,0,0,0,522,383,2608
1989-08-01,upuus,props,2,0,1,0,1,5,-1
1989-08-01,upuus,rooms,640,0,55,0,403,1277,-179
1989-08-01,upsus,props,11,0,0,0,5,0,16
1989-08-01,upsus,rooms,1756,0,0,0,1187,0,2943
1989-09-01,ecous,props,25,0,1,0,23,21,28
1989-09-01,ecous,rooms,1863,0,82,0,1859,1499,2305
1989-09-01,indus,props,13,0,0,0,16,21,8
1989-09-01,indus,rooms,1142,0,0,0,2974,2223,1893
1989-09-01,luxus,props,0,0,0,0,1,0,1
1989-09-01,luxus,rooms,0,0,0,0,97,0,97
1989-09-01,midus,props,7,0,0,0,6,5,8
1989-09-01,midus,rooms,806,0,0,0,771,2236,-659
1989-09-01,upmus,props,16,0,0,0,3,2,17
1989-09-01,upmus,rooms,1627,0,0,0,378,358,1647
1989-09-01,upuus,props,2,0,0,0,2,4,0
1989-09-01,upuus,rooms,784,0,0,0,362,654,492
1989-09-01,upsus,props,7,0,0,0,3,1,9
1989-09-01,upsus,rooms,1375,0,0,0,601,72,1904
1989-10-01,ecous,props,37,0,0,0,29,22,44
1989-10-01,ecous,rooms,3125,0,0,0,2909,2212,3822
1989-10-01,indus,props,12,0,1,0,23,31,5
1989-10-01,indus,rooms,609,0,80,0,2103,3362,-570
1989-10-01,luxus,props,0,0,0,0,1,0,1
1989-10-01,luxus,rooms,0,0,0,0,366,0,366
1989-10-01,midus,props,10,0,1,0,9,11,9
1989-10-01,midus,rooms,996,0,80,0,990,787,1279
1989-10-01,upmus,props,10,0,0,0,6,2,14
1989-10-01,upmus,rooms,904,0,0,0,670,283,1291
1989-10-01,upuus,props,10,0,0,0,0,1,9
1989-10-01,upuus,rooms,3631,0,0,0,0,97,3534
1989-10-01,upsus,props,8,0,0,0,0,1,7
1989-10-01,upsus,rooms,1417,0,0,0,0,297,1120
1989-11-01,ecous,props,16,0,0,0,26,15,27
1989-11-01,ecous,rooms,1083,0,0,0,1882,1292,1673
1989-11-01,indus,props,9,3,0,0,15,20,1
1989-11-01,indus,rooms,3813,392,0,0,1225,1333,3313
1989-11-01,luxus,props,0,0,0,0,1,0,1
1989-11-01,luxus,rooms,0,0,0,0,44,0,44
